site_number	 element 	 time 	 value 	 unit 
01548235	Ca	2012-05-15 10:45:00	114.776186436	mmol/L
01548235	Ca	2012-06-27 12:30:00	139.727531314	mmol/L
01548235	Ca	2012-07-31 08:00:00	167.174010679	mmol/L
01548235	Ca	2012-08-21 13:01:00	159.688607216	mmol/L
01548235	Ca	2012-09-25 10:00:00	164.678876191	mmol/L
01548235	Ca	2012-10-29 10:15:00	159.688607216	mmol/L
01548235	Ca	2012-11-28 08:30:00	122.2615899	mmol/L
01548235	Ca	2012-12-18 08:45:00	107.290782973	mmol/L
01548235	Ca	2013-02-12 11:00:00	114.776186436	mmol/L
01548235	Ca	2013-03-18 09:15:00	99.80537951	mmol/L
01548235	Ca	2013-04-23 10:00:00	104.795648485	mmol/L
01548235	Ca	2013-05-29 12:00:00	119.766455412	mmol/L
01548235	Ca	2013-06-18 08:00:00	117.271320924	mmol/L
01548235	Ca	2013-07-22 12:45:00	139.727531314	mmol/L
01548235	Ca	2013-08-06 09:00:00	147.212934777	mmol/L
01548235	Ca	2013-09-09 10:00:00	142.222665802	mmol/L
01548235	Ca	2013-10-28 13:30:00	132.242127851	mmol/L
01548235	Ca	2013-11-20 12:00:00	112.281051949	mmol/L
01548235	Ca	2013-12-18 10:15:00	112.281051949	mmol/L
01548235	Ca	2014-03-27 11:00:00	122.2615899	mmol/L
01548235	Ca	2014-04-24 11:00:00	122.2615899	mmol/L
01548235	Ca	2014-05-13 14:00:00	117.271320924	mmol/L
01548235	Ca	2014-06-18 12:25:00	142.222665802	mmol/L
